Time,num_cases
304.25,622635
304.5,622635
304.75,622635
305,622635
305.25,622635
305.5,622635
305.75,622635
306,622635
306.25,622635
306.5,622635
306.75,622635
307,622635
307.25,622635
307.5,622635
307.75,622635
308,622635
308.25,622635
308.5,622635
308.75,622635
309,622635
309.25,622635
309.5,622635
309.75,622635
310,622635
310.25,622635
310.5,622635
310.75,622635
311,622635
311.25,622635
311.5,622635
311.75,622635
312,622635
312.25,622635
312.5,622635
312.75,622635
313,622635
313.25,622635
313.5,622635
313.75,622635
314,622635
314.25,622635
314.5,622635
314.75,622635
315,622635
315.25,622635
315.5,622635
315.75,622635
316,622635
316.25,622635
316.5,622635
316.75,622635
317,622635
317.25,622635
317.5,622635
317.75,622635
318,622635
318.25,622635
318.5,622635
318.75,622635
319,622635
319.25,622635
319.5,622635
319.75,622635
320,622635
320.25,622635
320.5,622635
320.75,622635
321,622635
321.25,622635
321.5,622635
321.75,622635
322,622635
322.25,622635
322.5,622635
322.75,622635
323,622635
323.25,622635
323.5,622635
323.75,622635
324,622635
324.25,622635
324.5,622635
324.75,622635
325,622635
325.25,622635
325.5,622635
325.75,622635
326,622635
326.25,622635
326.5,622635
326.75,622635
327,622635
327.25,622635
327.5,622635
327.75,622635
328,622635
328.25,622635
328.5,622635
328.75,622635
329,622635
329.25,622635
329.5,622635
329.75,622635
330,622635
330.25,622635
330.5,622635
330.75,622635
331,622635
331.25,622635
331.5,622635
331.75,622635
332,622635
332.25,622635
332.5,622635
332.75,622635
333,622635
333.25,622635
333.5,622635
333.75,622635
334,622635
334.25,622635
334.5,622635
334.75,622635
335,622635
335.25,622635
335.5,622635
335.75,622635
336,622635
336.25,622635
336.5,622635
336.75,622635
337,622635
337.25,622635
337.5,622635
337.75,622635
338,622635
338.25,622635
338.5,622635
338.75,622635
339,622635
339.25,622635
339.5,622635
339.75,622635
340,622635
340.25,622635
340.5,622635
340.75,622635
341,622635
341.25,622635
341.5,622635
341.75,622635
342,622635
342.25,622635
342.5,622635
342.75,622635
343,622635
343.25,622635
343.5,622635
343.75,622635
344,622635
344.25,622635
344.5,622635
344.75,622635
345,622635
345.25,622635
345.5,622635
345.75,622635
346,622635
346.25,622635
346.5,622635
346.75,622635
347,622635
347.25,622635
347.5,622635
347.75,622635
348,622635
348.25,622635
348.5,622635
348.75,622635
349,622635
349.25,622635
349.5,622635
349.75,622635
350,622635
350.25,622635
350.5,622635
350.75,622635
351,622635
351.25,622635
351.5,622635
351.75,622635
352,622635
352.25,622635
352.5,622635
352.75,622635
353,622635
353.25,622635
353.5,622635
353.75,622635
354,622635
354.25,622635
354.5,622635
354.75,622635
355,622635
355.25,622635
355.5,622635
355.75,622635
356,622635
356.25,622635
356.5,622635
356.75,622635
357,622635
357.25,622635
357.5,622635
357.75,622635
358,622635
358.25,622635
358.5,622635
358.75,622635
359,622635
359.25,622635
359.5,622635
359.75,622635
360,622635
360.25,622635
360.5,622635
360.75,622635
361,622635
361.25,622635
361.5,622635
361.75,622635
362,622635
362.25,622635
362.5,622635
362.75,622635
363,622635
363.25,622635
363.5,622635
363.75,622635
364,622635
364.25,622635
364.5,622635
364.75,622635
365,622635
365.25,622635
365.5,622635
365.75,622635
366,622635
366.25,622635
366.5,622635
366.75,622635
367,622635
367.25,622635
367.5,622635
367.75,622635
368,622635
368.25,622635
368.5,622635
368.75,622635
369,622635
369.25,622635
369.5,622635
369.75,622635
370,622635
370.25,622635
370.5,622635
370.75,622635
371,622635
371.25,622635
371.5,622635
371.75,622635
372,622635
372.25,622635
372.5,622635
372.75,622635
373,622635
373.25,622635
373.5,622635
373.75,622635
374,622635
374.25,622635
374.5,622635
374.75,622635
375,622635
375.25,622635
375.5,622635
375.75,622635
376,622635
376.25,622635
376.5,622635
376.75,622635
377,622635
377.25,622635
377.5,622635
377.75,622635
378,622635
378.25,622635
378.5,622635
378.75,622635
379,622635
379.25,622635
379.5,622635
379.75,622635
380,622635
380.25,622635
380.5,622635
380.75,622635
381,622635
381.25,622635
381.5,622635
381.75,622635
382,622635
382.25,622635
382.5,622635
382.75,622635
383,622635
383.25,622635
383.5,622635
383.75,622635
384,622635
384.25,622635
384.5,622635
384.75,622635
385,622635
385.25,622635
385.5,622635
385.75,622635
386,622635
386.25,622635
386.5,622635
386.75,622635
387,622635
387.25,622635
387.5,622635
387.75,622635
388,622635
388.25,622635
388.5,622635
388.75,622635
389,622635
389.25,622635
389.5,622635
389.75,622635
390,622635
390.25,622635
390.5,622635
390.75,622635
391,622635
391.25,622635
391.5,622635
391.75,622635
392,622635
392.25,622635
392.5,622635
392.75,622635
393,622635
393.25,622635
393.5,622635
393.75,622635
394,622635
394.25,622635
394.5,622635
394.75,622635
395,622635
395.25,622635
395.5,622635
395.75,622635
396,622635
396.25,622635
396.5,622635
396.75,622635
397,622635
397.25,622635
397.5,622635
397.75,622635
398,622635
398.25,622635
398.5,622635
398.75,622635
399,622635
399.25,622635
399.5,622635
399.75,622635
400,622635
400.25,622635
400.5,622635
400.75,622635
401,622635
401.25,622635
401.5,622635
401.75,622635
402,622635
402.25,622635
402.5,622635
402.75,622635
403,622635
403.25,622635
403.5,622635
403.75,622635
404,622635
404.25,622635
404.5,622635
404.75,622635
405,622635
405.25,622635
405.5,622635
405.75,622635
406,622635
406.25,622635
406.5,622635
406.75,622635
407,622635
407.25,622635
407.5,622635
407.75,622635
408,622635
408.25,622635
408.5,622635
408.75,622635
409,622635
409.25,622635
409.5,622635
409.75,622635
410,622635
410.25,622635
410.5,622635
410.75,622635
411,622635
411.25,622635
411.5,622635
411.75,622635
412,622635
412.25,622635
412.5,622635
412.75,622635
413,622635
413.25,622635
413.5,622635
413.75,622635
414,622635
414.25,622635
414.5,622635
414.75,622635
415,622635
415.25,622635
415.5,622635
415.75,622635
416,622635
416.25,622635
416.5,622635
416.75,622635
417,622635
417.25,622635
417.5,622635
417.75,622635
418,622635
418.25,622635
418.5,622635
418.75,622635
419,622635
419.25,622635
419.5,622635
419.75,622635
420,622635
420.25,622635
420.5,622635
420.75,622635
421,622635
421.25,622635
421.5,622635
421.75,622635
422,622635
422.25,622635
422.5,622635
422.75,622635
423,622635
423.25,622635
423.5,622635
423.75,622635
424,622635
424.25,622635
424.5,622635
424.75,622635
425,622635
425.25,622635
425.5,622635
425.75,622635
426,622635
426.25,622635
426.5,622635
426.75,622635
427,622635
427.25,622635
427.5,622635
427.75,622635
428,622635
428.25,622635
428.5,622635
428.75,622635
429,622635
429.25,622635
429.5,622635
429.75,622635
430,622635
430.25,622635
430.5,622635
430.75,622635
431,622635
431.25,622635
431.5,622635
431.75,622635
432,622635
432.25,622635
432.5,622635
432.75,622635
433,622635
433.25,622635
433.5,622635
433.75,622635
434,622635
434.25,622635
434.5,622635
434.75,622635
435,622635
435.25,622635
435.5,622635
435.75,622635
436,622635
