Time,num_recovered
523.5,92384
523.75,92384
524,92384
524.25,92384
524.5,92384
524.75,92384
525,92384
525.25,92384
525.5,92384
525.75,92384
526,92384
526.25,92384
526.5,92384
526.75,92384
527,92384
527.25,92384
527.5,92384
527.75,92384
528,92384
528.25,92384
528.5,92384
528.75,92384
529,92384
529.25,92384
529.5,92384
529.75,92384
530,92384
530.25,92384
530.5,92384
530.75,92384
531,92384
531.25,92384
531.5,92384
531.75,92384
532,92384
532.25,92384
532.5,92384
532.75,92384
533,92384
533.25,92384
533.5,92384
533.75,92384
534,92384
534.25,92384
534.5,92384
534.75,92384
535,92384
535.25,92384
535.5,92384
535.75,92384
536,92384
536.25,92384
536.5,92384
536.75,92384
537,92384
537.25,92384
537.5,92384
537.75,92384
538,92384
538.25,92384
538.5,92384
538.75,92384
539,92384
539.25,92384
539.5,92384
539.75,92384
540,92384
540.25,92384
540.5,92384
